full_text,label
Rill perusak KPop tuh SM YG entah agensi penggemar maupun idolnya. Coba liat kasus2 mengerikan di kpop tuh selalu dr SM dan YG. Idol bundir kasus seungri taeil kriss wu belum lagi kasus2 lain sprti narkoba kebanyakan dari dua agensi itu wkwkwk,0
TAEIL NCT GAK PERNAH DI GERUS TERUS TERUSAN KEG GINI.. PADAHAL KASUS NYA BEJAT BIADAB BGT.,0
@- oh bapaknya si ha3rin ya(?) sebenarnya nggak terlalu ngikutin kasus mereka tapi seliweran di tl gue sering hit tweet yang hate komen ke 2 grup itu parah banget sih bahkan tembus puluhan ribu like. bener-bener kaya memperlakukan ke idol kriminal giliran taeil gak digituin lol,0
@- Taeil abis kena kasus lgsg dihujat fandom sendiri. Kagak ada yg bela satu pun waktu itu Bahkan solo stand dia lgsg bakar pc2 ny najis2in knp bisa ketipu dg tampangnya Dan kita gak ada sedikitpun naikin tagar kayak kalian we love bla bla kalo bias kalian ada masalah,0
@- @- @- Setuju kontroversi Taeil adalah tindak pidana langsung yang terbukti secara hukum sedangkan kasus RM masih tuduhan donasi yang belum diverifikasi penuh dan lebih bersifat administratif. Pencapaian RM sebagai leader global BTS dan kontribusi sosialnya memang lebih masif,0
@- @- Kya kasus taeil ga si kak dulu pada begini karena yaaa keliatan anaknya baik bgtt dan bonusnya suara dia emang beneran bagus gak kaya si rm ini. Tapi setelah kasusnya keungkap baru deh fansnya pada speak up kalo sebenernya mengakui si taeil jelek. Jelek muka jelek akhlak,0
@- Pas kasus Taeil ada aja saya mundur alon-alon jadi NCTzen..,0
@- Terus kenapa kalo hujat? Ada fandom lu boycot dia? Berkaca dari kasus Taeil kalian itu hujat di awal doang ujung2nya juga dukung. Munafik,0
@- Setuju pas kasus taeil kaget tapi ga sekaget ni org mana tiap hari gebrakan kasusnya ga abis abis...,0
@- Kasusnya aja gasama dan yang ngirim bunga ke S kan juga dari fandom sendiri. Kalau kasus Taeil dari sejak pengumuman dia dikeluarin dari grup semua orang berusaha buat ngapus eksistensi dia dan pada dukung victim. Stop ngebandingin.,0
